Episode,name,Title,Season,Date,isSerie
Blood in the Water,Suits,Suits Season 2 Blood in the Water,2,10-jul.-19,TRUE
Business Plan,Family Business,Family Business Season 1 Business Plan,1,09-jul.-19,TRUE
,21,21,,08-jul.-19,FALSE
,White Chicks,White Chicks,,07-jul.-19,FALSE
Blind-Sided,Suits,Suits Season 2 Blind-Sided,2,07-jul.-19,TRUE
High Noon,Suits,Suits Season 2 High Noon,2,07-jul.-19,TRUE
Asterisk,Suits,Suits Season 2 Asterisk,2,07-jul.-19,TRUE
Rewind,Suits,Suits Season 2 Rewind,2,07-jul.-19,TRUE
Sucker Punch,Suits,Suits Season 2 Sucker Punch,2,06-jul.-19,TRUE
All In,Suits,Suits Season 2 All In,2,06-jul.-19,TRUE
Break Point,Suits,Suits Season 2 Break Point,2,06-jul.-19,TRUE
Discovery,Suits,Suits Season 2 Discovery,2,06-jul.-19,TRUE
Meet the New Boss,Suits,Suits Season 2 Meet the New Boss,2,06-jul.-19,TRUE
The Choice,Suits,Suits Season 2 The Choice,2,06-jul.-19,TRUE
She Knows,Suits,Suits Season 2 She Knows,2,06-jul.-19,TRUE
Dog Fight,Suits,Suits Season 1 Dog Fight,1,06-jul.-19,TRUE
Rules of the Game,Suits,Suits Season 1 Rules of the Game,1,06-jul.-19,TRUE
,Esperando La Carroza,Esperando La Carroza,,06-jul.-19,FALSE
The Shelf Life,Suits,Suits Season 1 The Shelf Life,1,05-jul.-19,TRUE
The Rickshank Rickdemption,Rick and Morty,Rick and Morty Season 3 The Rickshank Rickdemption,3,04-jul.-19,TRUE
The ABC's of Beth,Rick and Morty,Rick and Morty Season 3 The ABC's of Beth,3,04-jul.-19,TRUE
,xXx The Return of Xander Cage,xXx The Return of Xander Cage,,04-jul.-19,FALSE
Undefeated,Suits,Suits Season 1 Undefeated,1,04-jul.-19,TRUE
Identity Crisis,Suits,Suits Season 1 Identity Crisis,1,03-jul.-19,TRUE
Play the Man,Suits,Suits Season 1 Play the Man,1,02-jul.-19,TRUE
Tricks of the Trade,Suits,Suits Season 1 Tricks of the Trade,1,01-jul.-19,TRUE
Dirty Little Secrets,Suits,Suits Season 1 Dirty Little Secrets,1,01-jul.-19,TRUE
Bail Out,Suits,Suits Season 1 Bail Out,1,01-jul.-19,TRUE
,Shaft,Shaft,,30-jun.-19,FALSE
,Dirty Grandpa,Dirty Grandpa,,30-jun.-19,FALSE
Episode 1,Peaky Blinders,Peaky Blinders Season 1 Episode 1,1,29-jun.-19,TRUE
Auto Erotic Assimilation,Rick and Morty,Rick and Morty Season 2 Auto Erotic Assimilation,2,25-jun.-19,TRUE
,Beats,Beats,,23-jun.-19,FALSE
Chapter 1,El marginal,El marginal Season 2 Chapter 1,2,23-jun.-19,TRUE
Episode 2,Millennials,Millennials Season 1 Episode 2,1,22-jun.-19,TRUE
The Whirly Dirly Conspiracy,Rick and Morty,Rick and Morty Season 3 The Whirly Dirly Conspiracy,3,20-jun.-19,TRUE
,Despicable Me 2,Despicable Me 2,,20-jun.-19,FALSE
,Despicable Me,Despicable Me,,17-jun.-19,FALSE
,Murder Mystery,Murder Mystery,,17-jun.-19,FALSE
,In Family I Trust,In Family I Trust,,11-jun.-19,FALSE
,The Gambler,The Gambler,,11-jun.-19,FALSE
King,Good Girls,Good Girls Season 2 King,2,10-jun.-19,TRUE
Jeff,Good Girls,Good Girls Season 2 Jeff,2,10-jun.-19,TRUE
Hunting Season,Good Girls,Good Girls Season 2 Hunting Season,2,10-jun.-19,TRUE
This Land Is Your Land,Good Girls,Good Girls Season 2 This Land Is Your Land,2,10-jun.-19,TRUE
One Last Time,Good Girls,Good Girls Season 2 One Last Time,2,10-jun.-19,TRUE
Thelma and Louise,Good Girls,Good Girls Season 2 Thelma and Louise,2,10-jun.-19,TRUE
The Dubby,Good Girls,Good Girls Season 2 The Dubby,2,10-jun.-19,TRUE
Take Off Your Pants,Good Girls,Good Girls Season 2 Take Off Your Pants,2,09-jun.-19,TRUE
"Rachel, Jack and Ashley Too",Black Mirror,"Black Mirror Season 5 Rachel, Jack and Ashley Too",5,08-jun.-19,TRUE
Smithereens,Black Mirror,Black Mirror Season 5 Smithereens,5,07-jun.-19,TRUE
Striking Vipers,Black Mirror,Black Mirror Season 5 Striking Vipers,5,07-jun.-19,TRUE
Everything Must Go,Good Girls,Good Girls Season 2 Everything Must Go,2,03-jun.-19,TRUE
Pick Your Poison,Good Girls,Good Girls Season 2 Pick Your Poison,2,02-jun.-19,TRUE
You Have Reached the Voicemail of Leslie Peterson,Good Girls,Good Girls Season 2 You Have Reached the Voicemail of Leslie Peterson,2,02-jun.-19,TRUE
"Slow Down, Children at Play",Good Girls,"Good Girls Season 2 Slow Down, Children at Play",2,02-jun.-19,TRUE
I'd Rather Be Crafting,Good Girls,Good Girls Season 2 I'd Rather Be Crafting,2,02-jun.-19,TRUE
"If You Are the Smartest One in the Room, You're in the Wrong Room",How to Sell Drugs Online (Fast),"How to Sell Drugs Online (Fast) Season 1 If You Are the Smartest One in the Room, You're in the Wrong Room",1,01-jun.-19,TRUE
Score Big or Don't Score at All,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast) Season 1 Score Big or Don't Score at All,1,01-jun.-19,TRUE
"If This is Reality, I'm Not Interested",How to Sell Drugs Online (Fast),"How to Sell Drugs Online (Fast) Season 1 If This is Reality, I'm Not Interested",1,01-jun.-19,TRUE
Failure is Not an Option,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast) Season 1 Failure is Not an Option,1,01-jun.-19,TRUE
"Life's Not Fair, Get Used to It",How to Sell Drugs Online (Fast),"How to Sell Drugs Online (Fast) Season 1 Life's Not Fair, Get Used to It",1,01-jun.-19,TRUE
"Nerd Today, Boss Tomorrow",How to Sell Drugs Online (Fast),"How to Sell Drugs Online (Fast) Season 1 Nerd Today, Boss Tomorrow",1,01-jun.-19,TRUE
Inside Track,Suits,Suits Season 1 Inside Track,1,30-may.-19,TRUE
Errors and Omissions,Suits,Suits Season 1 Errors and Omissions,1,30-may.-19,TRUE
Pilot Part 1 & 2,Suits,Suits Season 1 Pilot Part 1 & 2,1,30-may.-19,TRUE
,Avengers Age of Ultron,Avengers Age of Ultron,,29-may.-19,FALSE
,The Man,The Man,,29-may.-19,FALSE
,Inside Man,Inside Man,,29-may.-19,FALSE
,Mulan,Mulan,,29-may.-19,FALSE
,The Social Network,The Social Network,,29-may.-19,FALSE
Episode 1,Millennials,Millennials Season 1 Episode 1,1,28-may.-19,TRUE
Rest and Ricklaxation,Rick and Morty,Rick and Morty Season 3 Rest and Ricklaxation,3,27-may.-19,TRUE
Meeseeks and Destroy,Rick and Morty,Rick and Morty Season 1 Meeseeks and Destroy,1,27-may.-19,TRUE
,Superbad,Superbad,,26-may.-19,FALSE
,Toy Story 2,Toy Story 2,,25-may.-19,FALSE
,The Tourist,The Tourist,,25-may.-19,FALSE
M. Night Shaym-Aliens!,Rick and Morty,Rick and Morty Season 1 M. Night Shaym-Aliens!,1,25-may.-19,TRUE
Anatomy Park,Rick and Morty,Rick and Morty Season 1 Anatomy Park,1,25-may.-19,TRUE
,Meet the Blacks,Meet the Blacks,,25-may.-19,FALSE
How it Happens,The Society,The Society Season 1 How it Happens,1,23-may.-19,TRUE
New Names,The Society,The Society Season 1 New Names,1,23-may.-19,TRUE
Pilot,Dead to Me,Dead to Me Season 1 Pilot,1,23-may.-19,TRUE
Poison,The Society,The Society Season 1 Poison,1,22-may.-19,TRUE
Allie's Rules,The Society,The Society Season 1 Allie's Rules,1,22-may.-19,TRUE
Like a F-ing God or Something,The Society,The Society Season 1 Like a F-ing God or Something,1,22-may.-19,TRUE
Putting on the Clothes,The Society,The Society Season 1 Putting on the Clothes,1,22-may.-19,TRUE
Drop by Drop,The Society,The Society Season 1 Drop by Drop,1,21-may.-19,TRUE
Childhood's End,The Society,The Society Season 1 Childhood's End,1,21-may.-19,TRUE
Our Town,The Society,The Society Season 1 Our Town,1,21-may.-19,TRUE
What Happened,The Society,The Society Season 1 What Happened,1,20-may.-19,TRUE
Who's da New King of Hell?,Lucifer,Lucifer Season 4 Who's da New King of Hell?,4,13-may.-19,TRUE
Save Lucifer,Lucifer,Lucifer Season 4 Save Lucifer,4,13-may.-19,TRUE
Super Bad Boyfriend,Lucifer,Lucifer Season 4 Super Bad Boyfriend,4,13-may.-19,TRUE
Devil Is as Devil Does,Lucifer,Lucifer Season 4 Devil Is as Devil Does,4,13-may.-19,TRUE
Orgy Pants to Work,Lucifer,Lucifer Season 4 Orgy Pants to Work,4,13-may.-19,TRUE
Expire Erect,Lucifer,Lucifer Season 4 Expire Erect,4,12-may.-19,TRUE
All About Eve,Lucifer,Lucifer Season 4 All About Eve,4,12-may.-19,TRUE
"O, Ye of Little Faith, Father",Lucifer,"Lucifer Season 4 O, Ye of Little Faith, Father",4,11-may.-19,TRUE
Somebody’s Been Reading Dante’s Inferno,Lucifer,Lucifer Season 4 Somebody’s Been Reading Dante’s Inferno,4,11-may.-19,TRUE
Everything's Okay,Lucifer,Lucifer Season 4 Everything's Okay,4,11-may.-19,TRUE
Once Upon a Time,Lucifer,Lucifer Season 3 Once Upon a Time,3,11-may.-19,TRUE
Boo Normal,Lucifer,Lucifer Season 3 Boo Normal,3,10-may.-19,TRUE
A Devil of My Word,Lucifer,Lucifer Season 3 A Devil of My Word,3,10-may.-19,TRUE
,Iron Man 2,Iron Man 2,,09-may.-19,FALSE
Goofy the Homemaker,Mickey Mouse Clubhouse,Mickey Mouse Clubhouse Season 2 Goofy the Homemaker,2,09-may.-19,TRUE
Quintessential Deckerstar,Lucifer,Lucifer Season 3 Quintessential Deckerstar,3,09-may.-19,TRUE
All Hands on Decker,Lucifer,Lucifer Season 3 All Hands on Decker,3,09-may.-19,TRUE
Anything Pierce Can Do I Can Do Better,Lucifer,Lucifer Season 3 Anything Pierce Can Do I Can Do Better,3,08-may.-19,TRUE
The Angel of San Bernardino,Lucifer,Lucifer Season 3 The Angel of San Bernardino,3,08-may.-19,TRUE
Orange Is the New Maze,Lucifer,Lucifer Season 3 Orange Is the New Maze,3,08-may.-19,TRUE
The Last Heartbreak,Lucifer,Lucifer Season 3 The Last Heartbreak,3,08-may.-19,TRUE
Let Pinhead Sing!,Lucifer,Lucifer Season 3 Let Pinhead Sing!,3,08-may.-19,TRUE
Infernal Guinea Pig,Lucifer,Lucifer Season 3 Infernal Guinea Pig,3,07-may.-19,TRUE
High School Poppycock,Lucifer,Lucifer Season 3 High School Poppycock,3,07-may.-19,TRUE
My Brother's Keeper,Lucifer,Lucifer Season 3 My Brother's Keeper,3,07-may.-19,TRUE
Til Death Do Us Part,Lucifer,Lucifer Season 3 'Til Death Do Us Part,3,07-may.-19,TRUE
All About Her,Lucifer,Lucifer Season 3 All About Her,3,06-may.-19,TRUE
City of Angels?,Lucifer,Lucifer Season 3 City of Angels?,3,06-may.-19,TRUE
The Sin Bin,Lucifer,Lucifer Season 3 The Sin Bin,3,06-may.-19,TRUE
The Sinnerman,Lucifer,Lucifer Season 3 The Sinnerman,3,06-may.-19,TRUE
Chloe Does Lucifer,Lucifer,Lucifer Season 3 Chloe Does Lucifer,3,06-may.-19,TRUE
Off the Record,Lucifer,Lucifer Season 3 Off the Record,3,06-may.-19,TRUE
Vegas with Some Radish,Lucifer,Lucifer Season 3 Vegas with Some Radish,3,05-may.-19,TRUE
"Welcome Back, Charlotte Richards",Lucifer,"Lucifer Season 3 Welcome Back, Charlotte Richards",3,05-may.-19,TRUE
What Would Lucifer Do?,Lucifer,Lucifer Season 3 What Would Lucifer Do?,3,05-may.-19,TRUE
Mr. and Mrs. Mazikeen Smith,Lucifer,Lucifer Season 3 Mr. and Mrs. Mazikeen Smith,3,05-may.-19,TRUE
The One with the Baby Carrot,Lucifer,Lucifer Season 3 The One with the Baby Carrot,3,04-may.-19,TRUE
"They're Back, Aren't They?",Lucifer,"Lucifer Season 3 They're Back, Aren't They?",3,04-may.-19,TRUE
"The Good, The Bad and The Crispy",Lucifer,"Lucifer Season 2 The Good, The Bad and The Crispy",2,04-may.-19,TRUE
Sympathy for the Goddess,Lucifer,Lucifer Season 2 Sympathy for the Goddess,2,04-may.-19,TRUE
,Money Monster,Money Monster,,04-may.-19,FALSE
The Sugar Bowl,Tuca & Bertie,Tuca & Bertie Season 1 The Sugar Bowl,1,04-may.-19,TRUE
God Johnson,Lucifer,Lucifer Season 2 God Johnson,2,03-may.-19,TRUE
Deceptive Little Parasite,Lucifer,Lucifer Season 2 Deceptive Little Parasite,2,03-may.-19,TRUE
Candy Morningstar,Lucifer,Lucifer Season 2 Candy Morningstar,2,01-may.-19,TRUE
A Good Day to Die,Lucifer,Lucifer Season 2 A Good Day to Die,2,01-may.-19,TRUE
Love Handles,Lucifer,Lucifer Season 2 Love Handles,2,01-may.-19,TRUE
Stewardess Interruptus,Lucifer,Lucifer Season 2 Stewardess Interruptus,2,01-may.-19,TRUE
Quid Pro Ho,Lucifer,Lucifer Season 2 Quid Pro Ho,2,01-may.-19,TRUE
Homewrecker,Lucifer,Lucifer Season 2 Homewrecker,2,01-may.-19,TRUE
Trip to Stabby Town,Lucifer,Lucifer Season 2 Trip to Stabby Town,2,30-Apr-19,TRUE
My Little Monkey,Lucifer,Lucifer Season 2 My Little Monkey,2,30-Apr-19,TRUE
Monster,Lucifer,Lucifer Season 2 Monster,2,30-Apr-19,TRUE
The Weaponizer,Lucifer,Lucifer Season 2 The Weaponizer,2,29-Apr-19,TRUE
Lady Parts,Lucifer,Lucifer Season 2 Lady Parts,2,29-Apr-19,TRUE
Sin-Eater,Lucifer,Lucifer Season 2 Sin-Eater,2,28-Apr-19,TRUE
"Liar, Liar, Slutty Dress on Fire",Lucifer,"Lucifer Season 2 Liar, Liar, Slutty Dress on Fire",2,28-Apr-19,TRUE
Everything's Coming Up Lucifer,Lucifer,Lucifer Season 2 Everything's Coming Up Lucifer,2,26-Apr-19,TRUE
Take Me Back to Hell,Lucifer,Lucifer Season 1 Take Me Back to Hell,1,25-Apr-19,TRUE
#TeamLucifer,Lucifer,Lucifer Season 1 #TeamLucifer,1,25-Apr-19,TRUE
St. Lucifer,Lucifer,Lucifer Season 1 St. Lucifer,1,25-Apr-19,TRUE
Pops,Lucifer,Lucifer Season 1 Pops,1,25-Apr-19,TRUE
A Priest Walks into a Bar,Lucifer,Lucifer Season 1 A Priest Walks into a Bar,1,24-Apr-19,TRUE
"Et Tu, Doctor?",Lucifer,"Lucifer Season 1 Et Tu, Doctor?",1,24-Apr-19,TRUE
Wingman,Lucifer,Lucifer Season 1 Wingman,1,24-Apr-19,TRUE
Favorite Son,Lucifer,Lucifer Season 1 Favorite Son,1,24-Apr-19,TRUE
Sweet Kicks,Lucifer,Lucifer Season 1 Sweet Kicks,1,24-Apr-19,TRUE
Manly Whatnots,Lucifer,Lucifer Season 1 Manly Whatnots,1,24-Apr-19,TRUE
The Would-Be Prince of Darkness,Lucifer,Lucifer Season 1 The Would-Be Prince of Darkness,1,24-Apr-19,TRUE
"Lucifer, Stay. Good Devil.",Lucifer,"Lucifer Season 1 Lucifer, Stay. Good Devil.",1,24-Apr-19,TRUE
Pilot,Lucifer,Lucifer Season 1 Pilot,1,23-Apr-19,TRUE
,Jack Reacher Never Go Back,Jack Reacher Never Go Back,,23-Apr-19,FALSE
,The Perfect Date,The Perfect Date,,23-Apr-19,FALSE
Finale Part Two!!,Limitless,Limitless Season 1 Finale Part Two!!,1,16-Apr-19,TRUE
Finale Part One!,Limitless,Limitless Season 1 Finale Part One!,1,16-Apr-19,TRUE
"Hi, My Name Is Rebecca Harris",Limitless,"Limitless Season 1 Hi, My Name Is Rebecca Harris",1,16-Apr-19,TRUE
A Dog's Breakfast,Limitless,Limitless Season 1 A Dog's Breakfast,1,16-Apr-19,TRUE
Bezgranichnyy,Limitless,Limitless Season 1 Bezgranichnyy,1,16-Apr-19,TRUE
Close Encounters,Limitless,Limitless Season 1 Close Encounters,1,16-Apr-19,TRUE
"Sands, Agent of Morra",Limitless,"Limitless Season 1 Sands, Agent of Morra",1,16-Apr-19,TRUE
Undercover!,Limitless,Limitless Season 1 Undercover!,1,16-Apr-19,TRUE
Fundamentals of Naked Portraiture,Limitless,Limitless Season 1 Fundamentals of Naked Portraiture,1,12-Apr-19,TRUE
Stop Me Before I Hug Again,Limitless,Limitless Season 1 Stop Me Before I Hug Again,1,12-Apr-19,TRUE
The Assassination of Eddie Morra,Limitless,Limitless Season 1 The Assassination of Eddie Morra,1,11-Apr-19,TRUE
This Is Your Brian on Drugs,Limitless,Limitless Season 1 This Is Your Brian on Drugs,1,10-Apr-19,TRUE
,"Love, Death & Robots Volume 1 THE SECRET WAR","Love, Death & Robots Volume 1 THE SECRET WAR",,08-Apr-19,FALSE
Arm-ageddon,Limitless,Limitless Season 1 Arm-ageddon,1,08-Apr-19,TRUE
,"Love, Death & Robots Volume 1 ALTERNATE HISTORIES","Love, Death & Robots Volume 1 ALTERNATE HISTORIES",,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 ICE AGE","Love, Death & Robots Volume 1 ICE AGE",,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 BLINDSPOT","Love, Death & Robots Volume 1 BLINDSPOT",,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 ZIMA BLUE","Love, Death & Robots Volume 1 ZIMA BLUE",,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 SUCKER OF SOULS","Love, Death & Robots Volume 1 SUCKER OF SOULS",,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 THE DUMP","Love, Death & Robots Volume 1 THE DUMP",,07-Apr-19,FALSE
,Mirage,Mirage,,07-Apr-19,FALSE
,"Love, Death & Robots Volume 1 THE WITNESS","Love, Death & Robots Volume 1 THE WITNESS",,06-Apr-19,FALSE
,"Love, Death & Robots Volume 1 SUITS","Love, Death & Robots Volume 1 SUITS",,06-Apr-19,FALSE
,"Love, Death & Robots Volume 1 BEYOND THE AQUILA RIFT","Love, Death & Robots Volume 1 BEYOND THE AQUILA RIFT",,06-Apr-19,FALSE
Chapter 8,El marginal,El marginal Season 2 Chapter 8,2,21-mar.-19,TRUE
,The Purge,The Purge,,17-mar.-19,FALSE
,Ghost Killers vs Bloody Mary,Ghost Killers vs Bloody Mary,,17-mar.-19,FALSE
,"Love, Death & Robots Volume 1 THREE ROBOTS","Love, Death & Robots Volume 1 THREE ROBOTS",,15-mar.-19,FALSE
,"Love, Death & Robots Volume 1 SONNIE'S EDGE","Love, Death & Robots Volume 1 SONNIE'S EDGE",,15-mar.-19,FALSE
,The Invisible Guest,The Invisible Guest,,14-mar.-19,FALSE
Episode 1,Safe,Safe Season 1 Episode 1,1,14-mar.-19,TRUE
,The Fugitive,The Fugitive,,13-mar.-19,FALSE
,Triple Frontier,Triple Frontier,,13-mar.-19,FALSE
,The Invisible Guardian,The Invisible Guardian,,12-mar.-19,FALSE
,Getaway,Getaway,,11-mar.-19,FALSE
,Office Christmas Party,Office Christmas Party,,11-mar.-19,FALSE
,Your Son,Your Son,,09-mar.-19,FALSE
,Budapest,Budapest,,07-mar.-19,FALSE
,Seven,Seven,,06-mar.-19,FALSE
,Isn't It Romantic,Isn't It Romantic,,04-mar.-19,FALSE
,Revenge,Revenge,,28-feb.-19,FALSE
,The Losers,The Losers,,27-feb.-19,FALSE
Fancy Dancin' Goofy,Mickey Mouse Clubhouse,Mickey Mouse Clubhouse Season 2 Fancy Dancin' Goofy,2,23-feb.-19,TRUE
Mortynight Run,Rick and Morty,Rick and Morty Season 2 Mortynight Run,2,20-feb.-19,TRUE
,NOVA CyberWar Threat,NOVA CyberWar Threat,,16-feb.-19,FALSE
,Acts of Vengeance,Acts of Vengeance,,16-feb.-19,FALSE
,Shot Caller,Shot Caller,,15-feb.-19,FALSE
,The Glass House,The Glass House,,12-feb.-19,FALSE
CTRL,Dark Net,Dark Net Season 1 CTRL,1,11-feb.-19,TRUE
,London Has Fallen,London Has Fallen,,10-feb.-19,FALSE
,Code of Honor,Code of Honor,,10-feb.-19,FALSE
,Blitz,Blitz,,09-feb.-19,FALSE
,Message from the King,Message from the King,,09-feb.-19,FALSE
My Furry Valentine,Big Mouth,Big Mouth Season 3 My Furry Valentine,3,08-feb.-19,TRUE
The Head Push,Big Mouth,Big Mouth Season 1 The Head Push,1,08-feb.-19,TRUE
,The Whole Truth,The Whole Truth,,05-feb.-19,FALSE
,Mara,Mara,,05-feb.-19,FALSE
,Velvet Buzzsaw,Velvet Buzzsaw,,05-feb.-19,FALSE
,Death in Buenos Aires,Death in Buenos Aires,,01-feb.-19,FALSE
,Law Abiding Citizen,Law Abiding Citizen,,01-feb.-19,FALSE
,Close,Close,,30-Jan-19,FALSE
Headquarters!,Limitless,Limitless Season 1 Headquarters!,1,30-Jan-19,TRUE
,The Last Laugh,The Last Laugh,,26-Jan-19,FALSE
,XXY,XXY,,24-Jan-19,FALSE
,Bird Box,Bird Box,,23-Jan-19,FALSE
Welcome to New York,Friends from College,Friends from College Season 1 Welcome to New York,1,21-Jan-19,TRUE
Episode 6,Sex Education,Sex Education Season 1 Episode 6,1,19-Jan-19,TRUE
Episode 8,Sex Education,Sex Education Season 1 Episode 8,1,17-Jan-19,TRUE
Episode 5,Sex Education,Sex Education Season 1 Episode 5,1,17-Jan-19,TRUE
Episode 4,Sex Education,Sex Education Season 1 Episode 4,1,17-Jan-19,TRUE
Episode 3,Sex Education,Sex Education Season 1 Episode 3,1,17-Jan-19,TRUE
Julia Says,Atypical,Atypical Season 1 Julia Says,1,15-Jan-19,TRUE
,Unbreakable,Unbreakable,,14-Jan-19,FALSE
Bluebeard's Castle,You,You Season 1 Bluebeard's Castle,1,10-Jan-19,TRUE
Candace,You,You Season 1 Candace,1,10-Jan-19,TRUE
"You Got Me, Babe",You,"You Season 1 You Got Me, Babe",1,10-Jan-19,TRUE
Everythingship,You,You Season 1 Everythingship,1,10-Jan-19,TRUE
Amour Fou,You,You Season 1 Amour Fou,1,10-Jan-19,TRUE
Living with the Enemy,You,You Season 1 Living with the Enemy,1,10-Jan-19,TRUE
The Captain,You,You Season 1 The Captain,1,10-Jan-19,TRUE
Maybe,You,You Season 1 Maybe,1,10-Jan-19,TRUE
The Last Nice Guy in New York,You,You Season 1 The Last Nice Guy in New York,1,10-Jan-19,TRUE
Pilot,You,You Season 1 Pilot,1,10-Jan-19,TRUE
Hated in the Nation,Black Mirror,Black Mirror Season 3 Hated in the Nation,3,08-Jan-19,TRUE
,Black Mirror Bandersnatch,Black Mirror Bandersnatch,,28-Dec-18,FALSE
Vindicators 3  The Return of Worldender,Rick and Morty,Rick and Morty Season 3 Vindicators 3  The Return of Worldender,3,25-Dec-18,TRUE
,John Wick,John Wick,,24-Dec-18,FALSE
,DreamWorks Shrek's Swamp Stories Volume 1 Puss in Boots The Three Diablos,DreamWorks Shrek's Swamp Stories Volume 1 Puss in Boots The Three Diablos,,24-Dec-18,FALSE
,DreamWorks Shrek's Swamp Stories Volume 1 Scared Shrekless,DreamWorks Shrek's Swamp Stories Volume 1 Scared Shrekless,,24-Dec-18,FALSE
Campers Arrive,Wet Hot American Summer First Day of Camp,Wet Hot American Summer First Day of Camp Season 1 Campers Arrive,1,24-Dec-18,TRUE
Look Who's Purging Now,Rick and Morty,Rick and Morty Season 2 Look Who's Purging Now,2,21-Dec-18,TRUE
Interdimensional Cable 2 Tempting Fate,Rick and Morty,Rick and Morty Season 2 Interdimensional Cable 2 Tempting Fate,2,21-Dec-18,TRUE
The Plaza System,Narcos Mexico,Narcos Mexico Season 1 The Plaza System,1,20-Dec-18,TRUE
,How the Grinch Stole Christmas,How the Grinch Stole Christmas,,17-Dec-18,FALSE
,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,,17-Dec-18,FALSE
Big Trouble in Little Sanchez,Rick and Morty,Rick and Morty Season 2 Big Trouble in Little Sanchez,2,16-Dec-18,TRUE
Episode 1,The Inmate,The Inmate Season 1 Episode 1,1,16-Dec-18,TRUE
,The Emperor's New Groove,The Emperor's New Groove,,16-Dec-18,FALSE
The Rickchurian Mortydate,Rick and Morty,Rick and Morty Season 3 The Rickchurian Mortydate,3,15-Dec-18,TRUE
Morty's Mind Blowers,Rick and Morty,Rick and Morty Season 3 Morty's Mind Blowers,3,14-Dec-18,TRUE
The Ricklantis Mixup,Rick and Morty,Rick and Morty Season 3 The Ricklantis Mixup,3,14-Dec-18,TRUE
,The Experiment,The Experiment,,13-Dec-18,FALSE
,Mechanic Resurrection,Mechanic Resurrection,,12-Dec-18,FALSE
Music,Explained,Explained Season 1 Music,1,12-Dec-18,TRUE
Episode 1,Raven's Home,Raven's Home Season 1 Episode 1,1,10-Dec-18,TRUE
Camelot,Narcos Mexico,Narcos Mexico Season 1 Camelot,1,04-Dec-18,TRUE
,Inside Out,Inside Out,,03-Dec-18,FALSE
Assembly Required,Minecraft Story Mode,Minecraft Story Mode Season 1 Assembly Required,1,03-Dec-18,TRUE
The Order of the Stone,Minecraft Story Mode,Minecraft Story Mode Season 1 The Order of the Stone,1,03-Dec-18,TRUE
Bill Murphy's Night Off,F is for Family,F is for Family Season 3 Bill Murphy's Night Off,3,03-Dec-18,TRUE
Frank the Father,F is for Family,F is for Family Season 3 Frank the Father,3,03-Dec-18,TRUE
It's In His Blood,F is for Family,F is for Family Season 3 It's In His Blood,3,03-Dec-18,TRUE
Summer Vacation,F is for Family,F is for Family Season 3 Summer Vacation,3,03-Dec-18,TRUE
Punch Drunk,F is for Family,F is for Family Season 3 Punch Drunk,3,03-Dec-18,TRUE
Battle of the Sexes,F is for Family,F is for Family Season 3 Battle of the Sexes,3,03-Dec-18,TRUE
Mr. Murphy's Wild Ride,F is for Family,F is for Family Season 3 Mr. Murphy's Wild Ride,3,03-Dec-18,TRUE
The Stinger,F is for Family,F is for Family Season 3 The Stinger,3,03-Dec-18,TRUE
Paul Lynde to Block,F is for Family,F is for Family Season 3 Paul Lynde to Block,3,03-Dec-18,TRUE
Are You Ready for the Summer?,F is for Family,F is for Family Season 3 Are You Ready for the Summer?,3,03-Dec-18,TRUE
Double Lives,Dark,Dark Season 1 Double Lives,1,30-nov.-18,TRUE
Queen of Hearts,Sick Note,Sick Note Season 1 Queen of Hearts,1,27-nov.-18,TRUE
,Cam,Cam,,27-nov.-18,FALSE
Requiem for a Wet Dream,Big Mouth,Big Mouth Season 1 Requiem for a Wet Dream,1,23-nov.-18,TRUE
Past and Present,Dark,Dark Season 1 Past and Present,1,22-nov.-18,TRUE
,The Night Before,The Night Before,,22-nov.-18,FALSE
Lies,Dark,Dark Season 1 Lies,1,17-nov.-18,TRUE
,The Parent Trap,The Parent Trap,,17-nov.-18,FALSE
Secrets,Dark,Dark Season 1 Secrets,1,17-nov.-18,TRUE
The One Where Monica Gets a Roommate (Pilot),Friends,Friends Season 1 The One Where Monica Gets a Roommate (Pilot),1,16-nov.-18,TRUE
The Stopped Show,BoJack Horseman,BoJack Horseman Season 5 The Stopped Show,5,12-nov.-18,TRUE
The Showstopper,BoJack Horseman,BoJack Horseman Season 5 The Showstopper,5,12-nov.-18,TRUE
Head in the Clouds,BoJack Horseman,BoJack Horseman Season 5 Head in the Clouds,5,12-nov.-18,TRUE
Ancient History,BoJack Horseman,BoJack Horseman Season 5 Ancient History,5,12-nov.-18,TRUE
Mr. Peanutbutter's Boos,BoJack Horseman,BoJack Horseman Season 5 Mr. Peanutbutter's Boos,5,12-nov.-18,TRUE
INT. SUB,BoJack Horseman,BoJack Horseman Season 5 INT. SUB,5,12-nov.-18,TRUE
Free Churro,BoJack Horseman,BoJack Horseman Season 5 Free Churro,5,12-nov.-18,TRUE
The Amelia Earhart Story,BoJack Horseman,BoJack Horseman Season 5 The Amelia Earhart Story,5,11-nov.-18,TRUE
